address,points,boost
0x7a93897c18bd0924044bd77F273E783676258C6F,1146.23,0.1
0xe798F06A565417F386f4Bb59d9eD9C35A11a2b9b,1129.82,0.375
0xFE75a7b04DD844E1c6Ad806440c98906FCAf8b84,1119.76,0.1
0x5C90cC6FbC8BAFa0c4d98FD6C1bf9b8584AaD2C7,1080.13,0.375
0x6b583E37e10CE182019Fa16f349C9Df273f0e984,1069.29,0.1
0x338BeADeC4E4d6AA677f79CC398C894BD924670D,1067.7,0.25
0xd3f62eCfF17Db8050899768b46159171A2b07D14,1065.08,0.1
0xCB1eE76E92F86f1d021C79A8F5225ce72D217695,1060.65,0
0x74e5300DA3B12569560ADC0D47cbDB0091D7deFC,1044.55,0.375
0xC506128b7DB89B4E3CF67Cf6fF6243919Fab865b,1043.94,0.375
0xC78F07f6d8e912f7d2B033BDA26FdE00e696F711,1023.66,0.375
0x439bb2A030f24524AC6a5Ab13C8d2FF9E8d6EA66,1014.01,0
0xacD70dE4561D8f3EbF88a62ac34f58A0A48fc8d4,1013.63,0
0x1F1ee64cd47515Fe1B385727DcA20C867a833cD4,1002.84,0.375
0x42114e98e4163E547F221Dd8BD02c8372E141Ac9,997.93,0.1
0x3368bE8171dF4d3E26107371B22A9470Ef7F15A8,993.23,0.25
0xE09398ea6eE0eD4622c11C32dbc3AbfD867bE9b9,981.47,0.375
0x11C6a7f31A651ff16c132cDC93a6Df62B39BAB1f,979.64,0.1
0xCd7B5b229A347876D62d957cDf52e68f5328194f,974.92,0.375
0xe21Aa4Ef150933060C2e9596Bc3C396AfEc7b6Bf,972.55,0.375
0xAe971DC2D706cFF670B8aD2FD19633460e946A2B,961.02,0.1
0x77800D3bFaf8E99ff5Ba70371797e27E6B2769E0,947.89,0.375
0xF36d7FEdfAC4F88f51EB36393cB589c5d69dDBE2,945.12,0.375
0x804207239322Fc36d37cbFf0be9aB6EC1cb89790,912.56,0
0x8B42A798746bB9411f6cEeA6c280E8Cd527d9Fac,910.56,0.375
0x764726E48ADecF7946f3ad18c489C55080C4ffe6,907.81,0
0x017b3ac363aB1438bB6beB64871fae4b4026a7DC,901.75,0.375
0xb484DF5f2a93ab73F3A3FfB411e5102D90246Bc7,892.62,0.375
0x786A384A465cdCd0fD575eE72F52C491F4dDD61D,891.02,0.1
0xd6BEa8B8D6e503DB297161349ca82aD077668D1d,890.71,0
0xC2c007352C00feFA1a4752A28658705168ABd873,886.81,0
0xd899dbfBE8b3019A0043438ce2675A05Bc5fC61c,879.56,0.1
0x91ccE00AC8A31a82749eB0Df66Df6a82308cD341,877.01,0.375
0xB764B2eEf15E448778a1B767c3E9720684ebC3CC,871.19,0.375
0xcE011a01337B6b7744bf632F81273026D544D50c,861.49,0.375
0x3e455346FfcE9B0B2fEc4BF322F978e76DFB0Cf4,857.28,0.375
0xF2950b3e1A9C24F3f34076ED214f4b54E149BF10,855.6,0.1
0xDb9c110Af2539544e724bdAaE26DE98b53000dfb,848.03,0
0x39d1e1c0313C1B798A77E03F5933a2900D5b20f1,843.5,0.375
0x721B7A7006aA59E4E47A103D0F652A35e80AA912,840.12,0.375
0xEaaF435dA44a4A2806870E3299a16462b546959F,831.02,0.375
0x7fb7E913836b3712F90959157CB4A3505b953d31,828.25,0.25
0xfF96e936F039a9885305196F127D0264Cd1f9f39,820.53,0
0x84D45A16EC1B448B05ef609F6743fe386e45ba73,813.2,0.1
0xCf50c8788A94BCFE49654637eE2159f3564bebbC,810.54,0.375
0xC9A648422c8a9DDf17443cA0558f99FD3D90Aac4,806.24,0.1
0xef7d0685e011067726298230a91a1A9BFa24A7EC,802.75,0.1
0x7B7424a89824767ba986E808A78dB121Fb1A81C2,793.07,0.375
0xD7125f14b3dC86cd476BE64deCc2974073a31159,791.6,0.25
0x2fCD2870a192Fc1F28BD15C71ED0FCBBCD31D05c,789.34,0.1
0x16FAf168ddec5c2AD8D972fd886c47cc654A54Cb,772.04,0.375
0xe64685CFCBd70915A231e72b70CCb17637A53Edb,752.95,0.1
0x398B7CE0eEb18A6f40C25aC2dFFEeF1441E285E5,749.16,0.1
0xa7d913De68a7E2d3986deF2d14014Ba5bac7446E,748.47,0
0x7d69CAaEC6B0f24e6e94b302b99D9527b681e56d,746.41,0.375
0xcEFD01D05a814820F85BdF50Cdd798b4a843206B,740.36,0.1
0x939495a621CFeD0B3b57241558443939dD918889,735.16,0.375
0x9b8c5A83E5b3e83f31a4788ecc969694A7261D42,730.26,0
0xa3E954485Def1F00F659a19F52577d202a40959f,730.26,0
0x891af0b7fe85FD7DdA7BF24b979fa4262696Ecb3,729.59,0.375
0x914F763976ffdFa55EdFC15b4620fCCcE4C99aa2,728.49,0.1
0x909912Ac2A8bA129E2824B23f86B7FcBbA85EbEA,727.74,0.1
0x097ADdF57F8C444741D60F8304A53D2aed207062,727.31,0.25
0xa411BaC928593084756bd391730165D92CD481Fe,723.35,0
0xE45D40E0EA15cdB2ccCB3fB946f1d8affc7F726e,720.43,0.1
0x3C5710755487d676cA45b03e61970d3C4D204C4c,716.64,0.375
0x295dB78050c147f23C3C40e4cd5852189801d582,705.13,0
0x02CD0779fA000655B20824A9D5BF7D08A2b80372,701.96,0.375
0x8d4Fa9CC9f3060fC6b7941Cfe5097bEb6192F1cc,693.74,0.375
0x2FEC00FCaa9A144C4BFd0d15907f3a84D16579bC,693.55,0.375
0xDCbAEE73F6D8dBDb3408d259b6eFF4f023231Ee5,688.96,0.375
0xeF211e5d09791C41272a4747a7E4D68B955f9AAd,688.27,0.375
0xD409B406dF96a72224a807aBE2205fb6f7a7f318,687.51,0
0xA3bC301e1488E3050bAD6435092AB78dE7546893,687.25,0.375
0x81Dc92Bc38fd1e6cF3EA96dFd3A699ff0F879C78,687.25,0.375
0xCf06A01A121Ec75FC2ecccd0960F7C5f53360807,686.13,0.1
0x03eacF88f8D1F0ff862c33377b45e2b6806FD7e7,685.52,0
0x17E6389dC8C81E80Bea5eD5f07CaFCADA01Bbd5d,684.28,0.1
0x7A67Ce948FFaB68B365e2EaEd361034Be82bbEB7,679.7,0.25
0x4C3d306A9807bBAf9f4a072e5B27b28f3E7C6DDf,678.26,0.375
0x4005eEeD78d23fF8C9c02De2920a749C7c3eEb5B,668.27,0.375
0x5Ca786b0993cACF9eF691969120a937b274aF33E,667.29,0.375
0xa2C474fD2729580160ceA5A76E65816eE060b464,666.27,0.375
0xd7e50f5eAd760C9E8227829a9D90590B4AA8EE9c,665.82,0.65
0xea4C3A34ACc622a435c611E46a4DFDCc90a9d4EA,660.21,0.375
0x7c9dbf642AcCD2aC071F5085e56B1f2A278775c4,649.75,0.375
0x6DfB87617Da1DC6d4549b62a109652446dA2FbdE,649.24,0.1
0xe619Df8eBd374B20C1E5Bbaea83040F2767A2cB2,636.78,0
0xC9B6148aB7f4E9FE3ede33Fb5B3F646B97F9E624,632.88,0.1
0x3C41943E2F92FE316Ef7Ab82Ef6390079Ff0fdE7,632.62,0.1
0xD8E5F57e478cf21CE82bD9F9F04832968fbf174F,620.33,0.375
0x1e9AEc246005054a6425e12f33A3A1D07B719a39,618.78,0.5
0x5fC248d74473bF5E3A2Ab64bba120CebC79BE37d,618.11,0.1
0xd95F04Fe091889056C8cD8a9528082c13C9Fce48,615.51,0.375
0xfC97d98568aF08268CBb5AF85c861a208ECFa254,597.65,0.1
0x3ba47a93b366465acf973B41fC3ADfEF1ea20735,597.21,0
0x80Df58635284592E35aF25e174bE70d65C379a21,594.19,0.1
0xe07815BD93167493fbf97F63Ef4dB95B85Ed3f77,592.67,0.1
0x9Dc755b72a812d74107cA610c9020B6533280590,585.63,0.1
0xf29B18cB786A045178C8ee9131e0ff69567bdD2b,582.33,0
0x70797084b41b3dd8A16231543FF75FEB2173007b,579.48,0
0x02081B50771d3703F2EeE01897A16723CD08d521,575.69,0.375
0x5389cc0e36451B0eA74BA56181d1fEB422d8C2cF,574.86,0
0x00E0AD337C6DcB44bF839892b02FBbD210B0c8b3,572.02,0.375
